Name,Sector,Voltage Ratio (kV/kV),Executive Agency,Capacity (MW/MVA),Month Of Completion,Year Of Completion (FY)
Azamgarh (Aug). (160-100),State,220/132,UPPTCL,60.0,MAY-16,2016-17
Baghpat S/S,State,220/132,UPPTCL,100.0,MAY-16,2016-17
Bhelupur,State,220/132,UPPTCL,60.0,MAY-16,2016-17
Moradabad (Aug.) (160-100),State,220/132,UPPTCL,60.0,MAY-16,2016-17
Nighasan S/S,State,220/132,UPPTCL,200.0,MAY-16,2016-17
Egra S/S,State,220/132,WBSETCL,160.0,MAY-16,2016-17
Mugaliachhap (New S/s) Bhopal,State,220/132,MPPTCL,160.0,JUN-16,2016-17
Badal (New) S/S,State,220/66,PSTCL,100.0,JUN-16,2016-17
Jadla S/S,State,220/66,PSTCL,160.0,JUN-16,2016-17
Majra S/S,State,220/66,PSTCL,160.0,JUN-16,2016-17
Kanasar S/S,State,220/132,RVPNL,160.0,JUN-16,2016-17
Bahraich S/S,State,220/132,UPPTCL,200.0,JUN-16,2016-17
Mahoba S/S,State,220/132,UPPTCL,100.0,JUN-16,2016-17
Sikandra Rau S/S,State,220/132,UPPTCL,160.0,JUN-16,2016-17
Vajrakarur,State,220/132,APTRANSCO,100.0,JUL-16,2016-17
Hukmawali S/S,State,220/132,HVPNL,200.0,JUL-16,2016-17
Egra (ICT-II) S/S,State,220/132,WBSETCL,160.0,JUL-16,2016-17
Vidyasagar Park (ICT-I & II),State,220/132,WBSETCL,320.0,JUL-16,2016-17
Agthala (Aug.),State,220/66,GETCO,100.0,AUG-16,2016-17
Chhatral (Aug.),State,220/66,GETCO,100.0,AUG-16,2016-17
Kansari (Aug.),State,220/66,GETCO,60.0,AUG-16,2016-17
Kim (Aug.),State,220/66,GETCO,100.0,AUG-16,2016-17
Mehsana (Aug.),State,220/132,GETCO,50.0,AUG-16,2016-17
Mota (Aug.),State,220/66,GETCO,110.0,AUG-16,2016-17
Rajkot (Nyara) (Aug.),State,220/66,GETCO,60.0,AUG-16,2016-17
Salejada (Aug.),State,220/66,GETCO,100.0,AUG-16,2016-17
Atri (Karadagadia ) 2nd ICT S/S,State,220/132/33,OPTCL,160.0,AUG-16,2016-17
Puri (Samangara) ICT-II S/S,State,220/132,OPTCL,160.0,AUG-16,2016-17
Abohar (Addl.),State,220/66,PSTCL,100.0,AUG-16,2016-17
Echur (Purisai) (JICA) S/S,State,230/110,TANTRANSCO,200.0,AUG-16,2016-17
Mosur S/S (4th Addl. Auto tr),State,220/110,TANTRANSCO,100.0,AUG-16,2016-17
Barahua S/S,State,220/132,UPPTCL,100.0,AUG-16,2016-17
Dhanaula (Addl.),State,220/66,PSTCL,100.0,SEP-16,2016-17
Nurmehal (Addl.),State,220/66,PSTCL,100.0,SEP-16,2016-17
Science city (Jalandhar),State,220/132,PSTCL,100.0,SEP-16,2016-17
Bah (New) S/S ICT-I,State,220/132,UPPTCL,100.0,SEP-16,2016-17
Hardoi (Aug.),State,220/132,UPPTCL,100.0,SEP-16,2016-17
Sikandra Rau (New) (ICT-II),State,220/132,UPPTCL,160.0,SEP-16,2016-17
Sirsaganj (new) S/S,State,220/132,UPPTCL,280.0,SEP-16,2016-17
Kishanganj S/S,State,220/132/33,BSEB,320.0,OCT-16,2016-17
Samastipur S/S (ICT-I),State,220/132/33,BSEB,160.0,OCT-16,2016-17
Bastara s/s (Addl.),State,220/132,HVPNL,100.0,OCT-16,2016-17
Chhatarpur (Addl. X-mer),State,220/132,MPPTCL,160.0,OCT-16,2016-17
Rajpura (Addl.),State,220/66,PSTCL,100.0,OCT-16,2016-17
Mahoba s/s (ICT-II),State,220/132,UPPTCL,100.0,OCT-16,2016-17
Morti (New) S/S,State,220/132,UPPTCL,160.0,OCT-16,2016-17
Rewari (Aug.),State,220/132,HVPNL,100.0,NOV-16,2016-17
Kanakapura (Aug.),State,220/66,KPTCL,100.0,NOV-16,2016-17
Handia,State,220/132,MPPTCL,160.0,NOV-16,2016-17
Kotar (Aug.),State,220/132,MPPTCL,160.0,NOV-16,2016-17
Mandideep S/S,State,220/132,MPPTCL,160.0,NOV-16,2016-17
Amalner (Replacement) (200-100),State,220/132,MSETCL,100.0,NOV-16,2016-17
Dondaicha (Additional),State,220/33,MSETCL,50.0,NOV-16,2016-17
Halkarni-1 (Replacement)(50-25),State,220/33,MSETCL,25.0,NOV-16,2016-17
Karkambh (Additional),State,220/33,MSETCL,50.0,NOV-16,2016-17
Mumewadi (Replacement) (50-25),State,220/33,MSETCL,25.0,NOV-16,2016-17
Cuddalore s/s (3rd Auto Tr.),State,220/110,TANTRANSCO,100.0,NOV-16,2016-17
Hayathnagar,State,220/33,TSTRANSCO,100.0,NOV-16,2016-17
Gwalior-II(ICT-2)),State,220/132,MPPTCL,160.0,DEC-16,2016-17
Julwaniya (Distt.Badwani) (ICT-2),State,220/132,MPPTCL,160.0,DEC-16,2016-17
Nagra Switching S/s,State,220/132,MPPTCL,0.0,DEC-16,2016-17
Badshahpur s/s (Addl.),State,220/66,PSTCL,100.0,DEC-16,2016-17
Goner (Jaipur) S/s,State,220/132/33,RVPNL,100.0,DEC-16,2016-17
Mandelgarh (Distt. Bhilwara) S/S,State,220/132,RVPNL,100.0,DEC-16,2016-17
Nagole (Uppal) S/S,State,220/132/33,TSTRANSCO,200.0,DEC-16,2016-17
Charla (ICT-II),State,220/132,UPPTCL,160.0,DEC-16,2016-17
Debai (ICT-II) S/S,State,220/132,UPPTCL,100.0,DEC-16,2016-17
Sahibabad (Aug.),State,220/132,UPPTCL,40.0,DEC-16,2016-17
Simbhaoli (Aug.),State,220/132,UPPTCL,40.0,DEC-16,2016-17
chinhat (Aug.),State,220/132,UPPTCL,40.0,DEC-16,2016-17
Chhegaon s/s (Addl.),State,220/132,MPPTCL,160.0,JAN-17,2016-17
Sidhi S/S,State,220/132,MPPTCL,160.0,JAN-17,2016-17
Ballarshah S/S,State,220/33,MSETCL,25.0,JAN-17,2016-17
Beed s/s (Addl.),State,220/33,MSETCL,50.0,JAN-17,2016-17
Manjarsumbha S/s (Addl.),State,220/33,MSETCL,25.0,JAN-17,2016-17
Partur S/S,State,220/132-33,MSETCL,150.0,JAN-17,2016-17
Phulambri S/S (Addl.),State,220/33,MSETCL,50.0,JAN-17,2016-17
Tilawani s/s (Replacement) (100-50),State,220/33,MSETCL,50.0,JAN-17,2016-17
Vile Bhagad S/S,State,220/22,MSETCL,25.0,JAN-17,2016-17
Viraj Profile S/S,State,220/33,MSETCL,100.0,JAN-17,2016-17
Ajitwal s/s (Addl.),State,220/66,PSTCL,100.0,JAN-17,2016-17
Mastewal (Addl.),State,220/66,PSTCL,100.0,JAN-17,2016-17
Aliyar (2nd Auto Tr.),State,230/110,TANTRANSCO,100.0,JAN-17,2016-17
Kinnimangalam (JICA) S/S,State,230/110,TANTRANSCO,300.0,JAN-17,2016-17
Nallamanaickenpartty s/s (2nd Auto Tr.),State,230/110,TANTRANSCO,80.0,JAN-17,2016-17
Palladam s/s (4th Auto tr.),State,230/110,TANTRANSCO,100.0,JAN-17,2016-17
Thiruvalam (4th Auto Tr.),State,230/110,TANTRANSCO,100.0,JAN-17,2016-17
Bah (New) S/S ICT-II,State,220/132,UPPTCL,100.0,JAN-17,2016-17
"Kursi Road, Lucknow (Aug.) (200-100)",State,220/132,UPPTCL,100.0,JAN-17,2016-17
Moradabad s/s (Aug.) (200-100),State,220/132,UPPTCL,40.0,JAN-17,2016-17
"Sahupuri,Chandauli (Aug.) (200-160)",State,220/132,UPPTCL,40.0,JAN-17,2016-17
Preet Vihar GIS (ICT-I),State,220/33,DTL,100.0,FEB-17,2016-17
Botad (Aug.),State,220/132,GETCO,150.0,FEB-17,2016-17
Gondal (Aug.),State,220/132,GETCO,50.0,FEB-17,2016-17
Haldarwa (Aug.),State,220/66,GETCO,100.0,FEB-17,2016-17
Khanpur (Aug.),State,220/66,GETCO,100.0,FEB-17,2016-17
Kheralu (Aug.),State,220/66,GETCO,60.0,FEB-17,2016-17
Panandhro (KLTPS) (Aug.),State,220/66,GETCO,50.0,FEB-17,2016-17
Ranasan (Aug.),State,220/132,GETCO,50.0,FEB-17,2016-17
Wagra (Aug.),State,220/66,GETCO,50.0,FEB-17,2016-17
Magadi S/S,State,220/66,KPTCL,200.0,FEB-17,2016-17
Himmatpura S/s (Trf. Replacement) (160-100),State,220/132,PSTCL,60.0,FEB-17,2016-17
Amberi S/S,State,220/132,RVPNL,160.0,FEB-17,2016-17
Sawaimadhopur S/s (Aug.) (160-100),State,220/132,RVPNL,60.0,FEB-17,2016-17
Tiruchuli (Near Muthuramalingapuram),State,230/110,TANTRANSCO,100.0,FEB-17,2016-17
"Chilakalaguda GIS (Osmania University) (ICT-
II)",State,220/132,TSTRANSCO,160.0,FEB-17,2016-17
Imlibun (GIS),State,220/132,TSTRANSCO,320.0,FEB-17,2016-17
Singotam X Roads S/s,State,220/33,TSTRANSCO,40.0,FEB-17,2016-17
Sircilla S/s (Karimnagar Distt.),State,220/132,TSTRANSCO,300.0,FEB-17,2016-17
Badaun (Aug.) ICT-II (200-150),State,220/132,UPPTCL,50.0,FEB-17,2016-17
"Dohna, Bareily  (Aug.) ICT -I (160 -100)",State,220/132,UPPTCL,60.0,FEB-17,2016-17
Shamli (Aug.) ICT -II (200-160),State,220/132,UPPTCL,40.0,FEB-17,2016-17
Sultanpur (Aug.) ICT-I (200-160),State,220/132,UPPTCL,40.0,FEB-17,2016-17
Preet Vihar GIS (ICT-II),State,220/33,DTL,100.0,MAR-17,2016-17
Bhatia (Aug.),State,220/132,GETCO,100.0,MAR-17,2016-17
Gotri s/s (Aug.),State,220/66,GETCO,160.0,MAR-17,2016-17
Jamnagar ICT- II,State,220/132,GETCO,50.0,MAR-17,2016-17
Sartanpar (Aug.),State,220/132,GETCO,100.0,MAR-17,2016-17
Bhoktoo S/S,State,220/66,HPPTCL,31.0,MAR-17,2016-17
Phojal GIS,State,220/33,HPPTCL,100.0,MAR-17,2016-17
Gowribidanur (Aug.),State,220/66,KPTCL,100.0,MAR-17,2016-17
Vikas Tech Park,State,220/66,KPTCL,300.0,MAR-17,2016-17
Daloda 220 KV S/s (Addl.) (1x160 MVA),State,220/132,MPPTCL,160.0,MAR-17,2016-17
Sarni (Aug.) (160-100),State,220/132,MPPTCL,60.0,MAR-17,2016-17
Amalner (200-100) 2nd ICT,State,220/132,MSETCL,100.0,MAR-17,2016-17
Anjangaon S/S,State,220/132,MSETCL,100.0,MAR-17,2016-17
Ballarshah s/s (2nd ICT),State,220/33,MSETCL,25.0,MAR-17,2016-17
Bhugaon (Aug.) 2 x (50- 25),State,220/33,MSETCL,50.0,MAR-17,2016-17
Chakan s/s (ICT - II),State,220/132,MSETCL,100.0,MAR-17,2016-17
Kandalgaon (Aug.) (100 - 50),State,220/132,MSETCL,50.0,MAR-17,2016-17
Loni Deokar S/S (2x100 MVA ICT- I&II,State,220/132,MSETCL,200.0,MAR-17,2016-17
Lote s/s (Aug.) (50-25),State,220/33,MSETCL,25.0,MAR-17,2016-17
Partur S/S (2x100+2x50),State,220/132,MSETCL,150.0,MAR-17,2016-17
Ranjangaon (Addl.),State,220/22,MSETCL,50.0,MAR-17,2016-17
Vairag s/s (2x25),State,220/33,MSETCL,50.0,MAR-17,2016-17
Wathar (Addl.),State,220/33,MSETCL,50.0,MAR-17,2016-17
Chandaka - B GIS S/S,State,220/132,OPTCL,320.0,MAR-17,2016-17
Cuttack s/s (Poporada),State,220/132,OPTCL,160.0,MAR-17,2016-17
Infocity-II GIS,State,220/33,OPTCL,80.0,MAR-17,2016-17
Malkangiri S/S,State,220/33,OPTCL,40.0,MAR-17,2016-17
Ablowal (Patoala) s/s (Addl.),State,220/66,PSTCL,160.0,MAR-17,2016-17
Bhari s/s,State,220/66,PSTCL,160.0,MAR-17,2016-17
Bhateri s/s (Aug.) (160-100),State,220/66,PSTCL,60.0,MAR-17,2016-17
Bhawanimandi s/s,State,220/132,RVPNL,160.0,MAR-17,2016-17
Jhalamand s/s,State,220/132,RVPNL,160.0,MAR-17,2016-17
Ambattur 3dr Main Road,State,230/110,TANTRANSCO,200.0,MAR-17,2016-17
Kurukathi,State,230/110,TANTRANSCO,80.0,MAR-17,2016-17
Poiyur,State,230/110,TANTRANSCO,200.0,MAR-17,2016-17
"Chandausi, Shambhal (2x160 MVA)",State,220/132,UPPTCL,160.0,MAR-17,2016-17
Gr. Noida (400) (Aug) (200-160),State,220/132,UPPTCL,40.0,MAR-17,2016-17
Rania s/s,State,220/132,UPPTCL,200.0,MAR-17,2016-17
Domjur s/s,State,220/132,WBSETCL,160.0,MAR-17,2016-17
Kasor (Aug.),State,400/220/33,GETCO,315.0,AUG-16,2016-17
Karamadai S/S,State,400/230,TANTRANSCO,945.0,AUG-16,2016-17
Jammalamadugu s/s (ICT-I),State,400/220,APTRANSCO,315.0,DEC-16,2016-17
Chittorgarh (ICT-II) S/S,State,400/220,RVPNL,315.0,DEC-16,2016-17
Kamudhi (Addl.),State,400/110,TANTRANSCO,200.0,DEC-16,2016-17
Kamavarapukota s/s (ICT-1),State,400/220,APTRANSCO,315.0,FEB-17,2016-17
Kosamba (ICT addition),State,400/220,GETCO,500.0,FEB-17,2016-17
Gr. Noida (Aug.) (500-315),State,400/220,UPPTCL,185.0,FEB-17,2016-17
Kanarapatty S/S,State,400/230-110,TANTRANSCO,1600.0,JAN-17,2016-17
Alkud S/S,State,400/220,MSETCL,500.0,JAN-17,2016-17
Uravakonda S/S,State,400/220,APTRANSCO,630.0,JUL-16,2016-17
Srinagar S/S,State,400/220,PTCUL,630.0,JUL-16,2016-17
Nanded (Kumbhargaon)S/S (ICT-II),State,400/220,MSETCL,500.0,JUN-16,2016-17
Rajpura (New) (2x500) (ICT-I),State,400/220,PSTCL,500.0,JUN-16,2016-17
Ghani s/s (PTR-I),State,400/220,APTRANSCO,500.0,MAR-17,2016-17
Kamavarapukota s/s (ICT-2),State,400/220,APTRANSCO,315.0,MAR-17,2016-17
Amreli s/s(Aug.),State,400/220,GETCO,500.0,MAR-17,2016-17
Veloda s/s,State,400/220,GETCO,1000.0,MAR-17,2016-17
Akola (Addl.),State,400/220,MSETCL,315.0,MAR-17,2016-17
Thaptitanda S/s (Aurangabad - II) (ICT- II),State,400/220,MSETCL,500.0,MAR-17,2016-17
Rajpura (New) (2x500) (ICT-II),State,400/220,PSTCL,500.0,MAR-17,2016-17
Dharmapuri (Palavadi),State,400/230,TANTRANSCO,515.0,MAR-17,2016-17
400/220/132kV SS at Narsapur(ICT-I),State,400/220,TSTRANSCO,315.0,MAR-17,2016-17
"Augmentation at 400/220kV Dichpally (3rd
PTR)",State,400/220,TSTRANSCO,315.0,MAR-17,2016-17
Gokarna S/S,State,400/220,WBSETCL,630.0,MAR-17,2016-17
Kharagpur s/s,State,400/220,WBSETCL,315.0,MAR-17,2016-17
Babhaleshwar (Additional ICT-4),State,400/220,MSETCL,500.0,NOV-16,2016-17
Aligarh (Aug.),State,400/220,UPPTCL,500.0,NOV-16,2016-17
Orai S/S (new) (ICT-I),State,400/220,UPPTCL,315.0,NOV-16,2016-17
Sattenapally,State,400/220,APTRANSCO,630.0,SEP-16,2016-17
Koradi-II (ICT-II),State,400/220,MSETCL,500.0,SEP-16,2016-17
Kamudhi S/S,State,400/230-110,TANTRANSCO,1030.0,SEP-16,2016-17
Champa and Kurukshetra HVDC S/S (Pole - II),Central,800,PGCIL,1500.0,JUN-17,2017-18
Alipurduar and Agra (Extn) HVDC S/S (Pole -4),Central,800,PGCIL,1500.0,SEP-17,2017-18
Nizamabad s/s (ICT-II),Central,765/400,PGCIL,1500.0,APR-17,2017-18
Bay Extn. at 765KV Jabalpur Pooling Station. (Gadarwara Part A),Central,765/400,PGCIL,0.0,MAY-17,2017-18
Bay Extn. at 765/400/220KV Lucknow S/stn.,Central,765,PGCIL,0.0,MAY-17,2017-18
Bay Extn. at 765/400/220KV KanpurS/stn.,Central,765,PGCIL,0.0,MAY-17,2017-18
Vindhyachal Pooling Station,Central,765/400,PGCIL,1500.0,JUL-17,2017-18
Bay Extn. at 765/400KV Hyderabad S/stn for 765KV D/C Nizamabad - Hyderabad line,Central,765/400,PGCIL,0.0,JUL-17,2017-18
Extn. Ranchi S/S,Central,765/400,PGCIL,0.0,JUL-17,2017-18
Hyderabad (Maheshwaram) (GIS) S/S - (ICT-I),Central,765/400,PGCIL,1500.0,JUL-17,2017-18
Hyderabad (Maheshwaram) (GIS) S/S - (ICT-II),Central,765/400,PGCIL,1500.0,SEP-17,2017-18
Bay Extn. at 765/400KV Kanpur GIS,Central,765/400,PGCIL,0.0,SEP-17,2017-18
Chittorgarh S/S (GEC-I),Central,765/400,PGCIL,3000.0,DEC-17,2017-18
Ajmer S/S (GEC-I),Central,765/400,PGCIL,3000.0,DEC-17,2017-18
Padghe S/S GIS,Central,765/400,PGCIL,3000.0,DEC-17,2017-18
Orai (ICT-I),Central,765/400,PGCIL,1000.0,MAR-18,2017-18
Anta GSS (ICT-3),State,765/400,RVPNL,1500.0,APR-17,2017-18
Unnao (Addl ICT- III) s/s,State,765/400,UPPTCL,1000.0,JUN-17,2017-18
765 kV S/S Greater Noida (New) ICT-II,State,765/400,UPPTCL,1500.0,FEB-18,2017-18
Hapur AIS (ICT-II),Private,765/400,WUPPTCL,1500.0,AUG-17,2017-18
Hapur (New) ICT-I,Private,765/400,WUPPTCL,1500.0,JAN-18,2017-18
Extn. Vadodara S/S (GIS),Central,400/220,PGCIL,1000.0,APR-17,2017-18
Trichy (Extn.),Central,400/220,PGCIL,500.0,JUN-17,2017-18
Agra (Extn.) s/s,Central,400/220,PGCIL,315.0,JUN-17,2017-18
Ballabhgarh S/S (Replacement of ICT-III and ICT- IV) ((500-315),Central,400/220,PGCIL,370.0,JUN-17,2017-18
Itarsi S/S,Central,400/220,PGCIL,500.0,JUL-17,2017-18
Betul (GIS) S/S,Central,400/220,PGCIL,630.0,JUL-17,2017-18
Gurgaon S/s 4th-ICT (Aug.) (under NRSS-XXXII),Central,400/220,PGCIL,500.0,JUL-17,2017-18
Kala Amb S/S (PKATL-TBCB),Central,400/220,PGCIL,630.0,AUG-17,2017-18
Mainpuri Extn.,Central,400/220,PGCIL,500.0,AUG-17,2017-18
Bay Extn. at 400/220KV Sholapur S/stn.,Central,400,PGCIL,0.0,SEP-17,2017-18
Maithon S/S (Replacement of ICT-II) (500-315),Central,400/220,PGCIL,185.0,OCT-17,2017-18
Kaithal s/s (Extn. ),Central,400/220,PGCIL,315.0,OCT-17,2017-18
Satna s/s (Extn.),Central,400/220,PGCIL,500.0,OCT-17,2017-18
Tumkur (Pavagada) Pooling Station (ICT-I),Central,400/220,PGCIL,500.0,OCT-17,2017-18
Narendra S/S - (ICT-I) Repl.,Central,400/220,PGCIL,185.0,DEC-17,2017-18
Parbati S/S (PS),Central,400/220,PGCIL,630.0,DEC-17,2017-18
Bay Extn at 400KV Tuticorin Pooling Stn.,Central,400,PGCIL,0.0,DEC-17,2017-18
Jamshedpur S/S,Central,400/220,PGCIL,315.0,DEC-17,2017-18
Gurgaon S/S - (ICT),Central,400/220,PGCIL,500.0,DEC-17,2017-18
Tumkur (Pavagada) PS (3x500) (ICT-II),Central,400/220,PGCIL,500.0,FEB-18,2017-18
400/220kV Patna S/S,Central,400/220,PGCIL,500.0,FEB-18,2017-18
Extn. at Sikar S/S,Central,400/220,PGCIL,500.0,MAR-18,2017-18
Yehlanka,Central,400/220,PGCIL,1000.0,MAR-18,2017-18
Rewa (ICT-I and II),Central,400/220,PGCIL,1000.0,MAR-18,2017-18
Extn at Tirunelveli S/s,Central,400/220,PGCIL,500.0,MAR-18,2017-18
Extn. at Kozhikode S/s,Central,400/220,PGCIL,500.0,MAR-18,2017-18
Extn.at Daltonganj S/S,Central,400/220,PGCIL,320.0,MAR-18,2017-18
Daltonganj (ICT-I),Central,400/220,PGCIL,315.0,MAR-18,2017-18
Extn. at Karaikudi s/s,Central,400/230,PGCIL,500.0,MAR-18,2017-18
Extn. at Arasur S/s,Central,400/230,PGCIL,500.0,MAR-18,2017-18
Maath (Mathura) s/s (ICT-1),State,400/220,UPPTCL,315.0,APR-17,2017-18
Azamgarh (ICT-1) (Aug 500-315),State,400/220,UPPTCL,185.0,APR-17,2017-18
Sultanpur (Additional) s/s,State,400/220,UPPTCL,315.0,MAY-17,2017-18
Maath Mathura (New) (ICT-II),State,400/220,UPPTCL,315.0,MAY-17,2017-18
Banda (New) (ICT-I),State,400/220,UPPTCL,315.0,MAY-17,2017-18
Agra (Aug) (500-315),State,400/220,UPPTCL,185.0,MAY-17,2017-18
Vemagiri (Aug) (ICT-III),State,400/220,APTRANSCO,315.0,JUN-17,2017-18
Uravakonda (Aug) (ICT-I),State,400/220,APTRANSCO,500.0,JUN-17,2017-18
Jammalamudgu (ICT-II) (GEC-I),State,400/220/132,APTRANSCO,315.0,JUN-17,2017-18
Gani (3x500 - ICT-II),State,400/220,APTRANSCO,500.0,JUN-17,2017-18
Kasara Mau (Addl ICT-III) S/s,State,400/132,UPPTCL,200.0,JUN-17,2017-18
Agra (South) S/S,State,400/132,UPPTCL,600.0,JUN-17,2017-18
Thervaigandigai,State,400/230/110,TANTRANSCO,830.0,JUN-17,2017-18
Manali (GIS),State,400/230/110,TANTRANSCO,1030.0,JUN-17,2017-18
Veltoor (Aug.),State,400/220,TSTRANSCO,315.0,JUN-17,2017-18
Rasipalayam S/S,State,400/230,TANTRANSCO,1030.0,JUN-17,2017-18
Dindi S/S,State,400/220,TSTRANSCO,630.0,JUN-17,2017-18
Gani (3x500 - ICT-III),State,400/220,APTRANSCO,500.0,JUL-17,2017-18
Dhuri (New) (Addl.),State,400/220,PSTCL,500.0,JUL-17,2017-18
Asupaka S/S,State,400/220,TSTRANSCO,315.0,AUG-17,2017-18
Alamathy,State,400/110,TANTRANSCO,200.0,AUG-17,2017-18
Manali (Addl),State,400/110,TANTRANSCO,200.0,AUG-17,2017-18
Bhadla (Distt. Jodhpur)-ICT-1,State,400/220,RVPNL,500.0,AUG-17,2017-18
Rasipalayam S/S (ICT-6),State,400/110,TANTRANSCO,200.0,AUG-17,2017-18
New Chanditala 400kV S/s,State,400/220,WBSETCL,315.0,AUG-17,2017-18
Maheswaram S/S,State,400/220,TSTRANSCO,500.0,AUG-17,2017-18
Dharmapuri (Palavady)-ICT-II,State,400/230,TANTRANSCO,315.0,SEP-17,2017-18
New Chanditala 400kV- (ICT-II),State,400/220,WBSETCL,315.0,SEP-17,2017-18
Narsapur (ICT-II),State,400/220,TSTRANSCO,315.0,SEP-17,2017-18
Dharmapuri (Palavady) 200MVA-ICT-II,State,400/110,TANTRANSCO,200.0,SEP-17,2017-18
Bhadla (Distt Jhodpur)-ICT-II,State,400/220,RVPNL,500.0,SEP-17,2017-18
Sultanpur (Aug.) (315-240),State,400/220,UPPTCL,75.0,OCT-17,2017-18
Narsapur-ICT-III,State,400/220,TSTRANSCO,315.0,NOV-17,2017-18
Orai (New) (ICT-II),State,400/220,UPPTCL,315.0,NOV-17,2017-18
Anaikadavu SS,State,400/230/110,TANTRANSCO,1030.0,NOV-17,2017-18
Chhegaon Addl. (Distt. Khandwa) (Makhan),State,400/220,MPPTCL,315.0,NOV-17,2017-18
Padhge ICT Repl(500-315),State,400/220,MSETCL,185.0,NOV-17,2017-18
Maheshwaram (2x500)-ICT-II,State,400/220,TSTRANSCO,500.0,NOV-17,2017-18
Jagdalpur (ICT-I),State,400/220,CSPTCL,315.0,NOV-17,2017-18
Sholinganallur (Ottinmbakkam) S/S,State,400/230/110,TANTRANSCO,830.0,DEC-17,2017-18
Muradnagar -II (Aug.) S/S (315-240),State,400/220,UPPTCL,75.0,DEC-17,2017-18
Moradabad (Aug.) S/S (500 - 315),State,400/220,UPPTCL,185.0,DEC-17,2017-18
Kudus New S/S - (ICT-I),State,400/220,MSETCL,500.0,DEC-17,2017-18
Gorkhpur (Aug.) (500-240),State,400/220,UPPTCL,260.0,JAN-18,2017-18
New Chanditala ICT-III,State,400/220,WBSETCL,315.0,FEB-18,2017-18
Hinjewadi II (GIS),State,400/220,MSETCL,1000.0,FEB-18,2017-18
Chandrapur-II (Addl.),State,400/220,MSETCL,500.0,MAR-18,2017-18
Sanand,State,400/220,GETCO,500.0,MAR-18,2017-18
Mardam,State,400/220,APTRANSCO,630.0,MAR-18,2017-18
Kudus (ICT -II),State,400/220,MSETCL,500.0,MAR-18,2017-18
GSS Babai S/S,State,400/220,RVPNL,315.0,MAR-18,2017-18
Muradnagar-I (Aug.) (500-315),State,400/220,UPPTCL,185.0,MAR-18,2017-18
Jejuri (Addl.),State,400/220/33,MSETCL,500.0,MAR-18,2017-18
Aurangabad-II (Thaptitanda) (Addl.),State,400/220,MSETCL,500.0,MAR-18,2017-18
Darbhanga (GIS) (DMTCL - TBCB),Private,400/220,ESSEL,1000.0,APR-17,2017-18
Nehtaur (Bijnor) (New) AIS,Private,400/132,WUPPTCL,200.0,JUN-17,2017-18
Gonda AIS,Private,400/220,SEUPPTCL,630.0,JUL-17,2017-18
Motihari (GIS) (DMTCL -TBCB),Private,400/132,ESSEL,400.0,AUG-17,2017-18
Ataur,Private,400/220,WUPPTCL,500.0,SEP-17,2017-18
Indirapuram (New),Private,400/220,WUPPTCL,1000.0,OCT-17,2017-18
Ataur (New)- ICT-II,Private,400/220,WUPPTCL,500.0,NOV-17,2017-18
Dasna GIS,Private,400/220,WUPPTCL,630.0,NOV-17,2017-18
Morena S/S (C-WRTL - TBCB),Private,400/220,APL,630.0,FEB-18,2017-18
Oragadam (3rd Auto) s/s,Central,230/110,TANTRANSCO,100.0,MAY-17,2017-18
Central CMRL (GIS) (JICA),Central,230/110,TANTRANSCO,200.0,JUN-17,2017-18
Kumbakkonam (JICA) S/S,Central,230/110,TANTRANSCO,200.0,JUN-17,2017-18
Eachangadu S/S,Central,230/110,TANTRANSCO,30.0,JUL-17,2017-18
Valayapatty,Central,230/110,TANTRANSCO,80.0,JUL-17,2017-18
Mondipatty (1x80),Central,230/110,TANTRANSCO,80.0,SEP-17,2017-18
Jambunathapuram,Central,230/110,TANTRANSCO,200.0,NOV-17,2017-18
Pudukkottai (Additional Transformer),Central,230/110,TANTRANSCO,160.0,FEB-18,2017-18
Anuppankulam (Enhancement from 1x100- 1x60),Central,230/110,TANTRANSCO,60.0,FEB-18,2017-18
Savasapuram,Central,230/110,TANTRANSCO,100.0,MAR-18,2017-18
Balipara S/S -ICT-I (Repl. 1x160-1x50),Central,220/132,PGCIL,110.0,SEP-17,2017-18
Raebareli SS (Repl. of 100 MVA to 200MVA)- ICT- 1,Central,220/132,PGCIL,100.0,NOV-17,2017-18
(J and K) Khalsti S/S,Central,220/66,PGCONSULTANCY,50.0,NOV-17,2017-18
(J and K) Leh S/S,Central,220/66,PGCONSULTANCY,125.0,NOV-17,2017-18
Raebareli SS )Repl. of 100 MVA - 200 MVA)- (ICT- II),Central,220/132,PGCIL,100.0,FEB-18,2017-18
Chandausi (Sambhal) (ICT-II),State,220/132,UPPTCL,160.0,APR-17,2017-18
RA Puram (GIS) UG (JICA),State,220/33,TANTRANSCO,200.0,APR-17,2017-18
Bonai S/S (ICT-1),State,220/33,OPTCL,20.0,APR-17,2017-18
Vile Bhagad s/s (ICT-II),State,220/22,MSETCL,25.0,APR-17,2017-18
Basti (ICT-1) (Aug 200-160),State,220/132,UPPTCL,40.0,APR-17,2017-18
Bharthana (Etawah) (ICT-1)(Aug 160-100),State,220/132,UPPTCL,60.0,APR-17,2017-18
Taramani (4th Auto Trf),State,220/110,TANTRANSCO,100.0,APR-17,2017-18
Omega Industrial Estate s/s,State,220/110,TANTRANSCO,200.0,APR-17,2017-18
